Time,Open,High,Low,Close,Volume
"Dec 02, 2020",236.0,246.0,232.0,240.0,179.26M
"Dec 01, 2020",236.0,244.0,220.0,236.0,242.43M
"Nov 30, 2020",256.0,264.0,234.0,236.0,618.81M
"Nov 27, 2020",234.0,252.0,234.0,250.0,672.64M
"Nov 26, 2020",232.0,238.0,230.0,234.0,87.38M
"Nov 25, 2020",236.0,252.0,230.0,232.0,416.91M
"Nov 24, 2020",238.0,242.0,232.0,234.0,194.27M
"Nov 23, 2020",232.0,244.0,224.0,234.0,285.99M
"Nov 20, 2020",248.0,254.0,236.0,236.0,767.72M
"Nov 19, 2020",194.0,254.0,194.0,252.0,1.03B
"Nov 18, 2020",193.0,198.0,191.0,194.0,226.14M
"Nov 17, 2020",181.0,199.0,179.0,191.0,831.21M
"Nov 16, 2020",169.0,184.0,167.0,179.0,571.68M
"Nov 13, 2020",161.0,167.0,158.0,167.0,149.17M
"Nov 12, 2020",166.0,166.0,159.0,161.0,105.05M
"Nov 11, 2020",169.0,170.0,164.0,164.0,159.14M
"Nov 10, 2020",169.0,177.0,163.0,167.0,294.80M
"Nov 09, 2020",157.0,171.0,156.0,167.0,670.61M
"Nov 06, 2020",151.0,157.0,151.0,154.0,217.04M
"Nov 05, 2020",150.0,155.0,149.0,151.0,92.58M
"Nov 04, 2020",158.0,159.0,148.0,149.0,165.26M
"Nov 03, 2020",159.0,162.0,155.0,156.0,110.93M
"Nov 02, 2020",156.0,162.0,151.0,156.0,268.65M
"Oct 27, 2020",156.0,165.0,149.0,155.0,643.30M
"Oct 26, 2020",153.0,166.0,147.0,156.0,861.44M
"Oct 23, 2020",155.0,157.0,146.0,149.0,662.11M
"Oct 22, 2020",126.0,160.0,123.0,151.0,2.33B
"Oct 21, 2020",123.0,129.0,121.0,123.0,178.44M
"Oct 20, 2020",125.0,125.0,120.0,121.0,41.44M
"Oct 19, 2020",121.0,126.0,120.0,124.0,88.58M
"Oct 16, 2020",123.0,124.0,119.0,120.0,45.70M
"Oct 15, 2020",121.0,127.0,120.0,122.0,219.57M
"Oct 14, 2020",121.0,123.0,117.0,121.0,121.81M
"Oct 13, 2020",119.0,120.0,115.0,119.0,64.84M
"Oct 12, 2020",116.0,121.0,116.0,117.0,132.96M
"Oct 09, 2020",113.0,117.0,113.0,115.0,83.42M
"Oct 08, 2020",112.0,114.0,111.0,113.0,84.58M
"Oct 07, 2020",110.0,113.0,110.0,112.0,32.17M
"Oct 06, 2020",112.0,114.0,111.0,111.0,39.99M
"Oct 05, 2020",111.0,112.0,109.0,111.0,40.55M
"Oct 02, 2020",113.0,114.0,109.0,110.0,56.21M
"Oct 01, 2020",113.0,115.0,111.0,112.0,71.07M
"Sep 30, 2020",113.0,114.0,108.0,111.0,62.00M
"Sep 29, 2020",114.0,116.0,112.0,113.0,48.64M
"Sep 28, 2020",116.0,116.0,112.0,113.0,72.60M
"Sep 25, 2020",115.0,116.0,112.0,114.0,99.48M
"Sep 24, 2020",116.0,117.0,112.0,113.0,118.84M
"Sep 23, 2020",117.0,121.0,113.0,118.0,141.86M
"Sep 22, 2020",119.0,120.0,114.0,116.0,267.65M
"Sep 21, 2020",131.0,137.0,122.0,122.0,551.25M
"Sep 18, 2020",118.0,137.0,118.0,131.0,938.57M
"Sep 17, 2020",117.0,118.0,115.0,117.0,53.11M
"Sep 16, 2020",116.0,121.0,115.0,116.0,75.77M
"Sep 15, 2020",119.0,119.0,114.0,116.0,33.69M
"Sep 14, 2020",113.0,119.0,111.0,118.0,53.20M
"Sep 11, 2020",106.0,114.0,105.0,113.0,95.79M
"Sep 10, 2020",120.0,120.0,112.0,112.0,70.26M
"Sep 09, 2020",123.0,123.0,119.0,120.0,55.91M
"Sep 08, 2020",120.0,124.0,120.0,123.0,48.34M
"Sep 07, 2020",121.0,122.0,119.0,120.0,46.64M
"Sep 04, 2020",122.0,123.0,119.0,121.0,56.77M
"Sep 03, 2020",127.0,128.0,123.0,123.0,31.82M
"Sep 02, 2020",125.0,128.0,125.0,126.0,50.93M
"Sep 01, 2020",122.0,127.0,122.0,125.0,47.91M
"Aug 31, 2020",130.0,132.0,123.0,125.0,193.72M
"Aug 28, 2020",129.0,133.0,127.0,128.0,170.42M
"Aug 27, 2020",123.0,133.0,121.0,129.0,470.85M
"Aug 26, 2020",127.0,128.0,123.0,123.0,72.95M
"Aug 25, 2020",120.0,127.0,120.0,126.0,133.27M
"Aug 24, 2020",118.0,120.0,118.0,119.0,40.10M
"Aug 19, 2020",120.0,122.0,118.0,118.0,44.48M
"Aug 18, 2020",118.0,121.0,118.0,120.0,60.75M
"Aug 14, 2020",119.0,121.0,118.0,118.0,13.92M
"Aug 13, 2020",120.0,122.0,118.0,119.0,24.98M
"Aug 12, 2020",119.0,124.0,117.0,120.0,86.45M
"Aug 11, 2020",121.0,121.0,116.0,118.0,40.46M
"Aug 10, 2020",120.0,120.0,117.0,117.0,10.48M
"Aug 07, 2020",120.0,122.0,118.0,118.0,9.67M
"Aug 06, 2020",121.0,122.0,118.0,120.0,17.95M
"Aug 05, 2020",115.0,119.0,114.0,118.0,32.48M
"Aug 04, 2020",115.0,118.0,112.0,114.0,26.10M
"Aug 03, 2020",123.0,124.0,115.0,115.0,58.72M
"Jul 30, 2020",129.0,129.0,122.0,123.0,59.75M
"Jul 29, 2020",128.0,130.0,126.0,126.0,33.73M
"Jul 28, 2020",128.0,130.0,127.0,127.0,28.43M
"Jul 27, 2020",128.0,131.0,127.0,128.0,60.30M
"Jul 24, 2020",131.0,131.0,127.0,128.0,70.53M
"Jul 23, 2020",125.0,131.0,125.0,131.0,48.85M
"Jul 22, 2020",133.0,133.0,129.0,129.0,54.66M
"Jul 21, 2020",133.0,133.0,130.0,131.0,75.97M
"Jul 20, 2020",131.0,138.0,130.0,131.0,192.17M
"Jul 17, 2020",135.0,136.0,130.0,134.0,45.93M
"Jul 16, 2020",140.0,141.0,132.0,134.0,132.40M
"Jul 15, 2020",129.0,138.0,129.0,138.0,207.20M
"Jul 14, 2020",132.0,132.0,129.0,129.0,28.32M
"Jul 13, 2020",131.0,132.0,129.0,131.0,26.93M
"Jul 10, 2020",135.0,135.0,129.0,130.0,54.12M
"Jul 09, 2020",133.0,136.0,130.0,131.0,88.80M
"Jul 08, 2020",128.0,133.0,126.0,132.0,61.14M
"Jul 07, 2020",129.0,130.0,128.0,128.0,22.59M
"Jul 06, 2020",129.0,131.0,126.0,129.0,23.81M
"Jul 03, 2020",133.0,135.0,127.0,128.0,72.53M
"Jul 02, 2020",128.0,131.0,125.0,131.0,56.71M
"Jul 01, 2020",130.0,131.0,125.0,128.0,25.91M
"Jun 30, 2020",131.0,133.0,128.0,129.0,26.51M
"Jun 29, 2020",129.0,132.0,128.0,130.0,30.04M
"Jun 26, 2020",132.0,135.0,129.0,129.0,58.09M
"Jun 25, 2020",131.0,138.0,129.0,130.0,85.45M
"Jun 24, 2020",131.0,135.0,131.0,133.0,33.25M
"Jun 23, 2020",135.0,138.0,128.0,131.0,58.97M
"Jun 22, 2020",138.0,140.0,133.0,135.0,34.84M
"Jun 19, 2020",145.0,147.0,138.0,138.0,82.37M
"Jun 18, 2020",135.0,148.0,135.0,145.0,180.57M
"Jun 17, 2020",142.0,142.0,136.0,138.0,91.93M
"Jun 16, 2020",128.0,141.0,128.0,138.0,155.84M
"Jun 15, 2020",129.0,135.0,125.0,125.0,50.35M
"Jun 12, 2020",131.0,131.0,120.0,129.0,68.01M
"Jun 11, 2020",132.0,137.0,126.0,128.0,56.02M
"Jun 10, 2020",138.0,147.0,133.0,134.0,82.02M
"Jun 09, 2020",157.0,162.0,142.0,142.0,139.45M
"Jun 08, 2020",138.0,176.0,136.0,152.0,237.40M
"Jun 05, 2020",119.0,135.0,118.0,133.0,141.42M
"Jun 04, 2020",123.0,127.0,118.0,119.0,141.21M
"Jun 03, 2020",112.0,122.0,111.0,120.0,135.13M
"Jun 02, 2020",109.0,112.0,106.0,110.0,31.17M
"May 29, 2020",112.0,115.0,106.0,106.0,143.87M
"May 28, 2020",115.0,115.0,112.0,112.0,45.40M
"May 27, 2020",112.0,117.0,109.0,113.0,106.92M
"May 26, 2020",108.0,113.0,105.0,111.0,42.49M
"May 20, 2020",109.0,109.0,106.0,107.0,6.34M
"May 19, 2020",107.0,111.0,106.0,108.0,7.22M
"May 18, 2020",111.0,112.0,105.0,106.0,15.14M
"May 15, 2020",112.0,114.0,110.0,111.0,9.52M
"May 14, 2020",115.0,116.0,111.0,112.0,5.99M
"May 13, 2020",114.0,116.0,111.0,115.0,5.18M
"May 12, 2020",123.0,123.0,114.0,114.0,17.85M
"May 11, 2020",117.0,121.0,116.0,118.0,10.49M
"May 08, 2020",117.0,119.0,116.0,116.0,5.97M
"May 06, 2020",118.0,118.0,114.0,117.0,5.08M
"May 05, 2020",113.0,117.0,113.0,115.0,4.71M
"May 04, 2020",118.0,118.0,113.0,113.0,9.02M
"Apr 30, 2020",117.0,122.0,115.0,118.0,25.67M
"Apr 29, 2020",113.0,115.0,112.0,114.0,5.48M
"Apr 28, 2020",114.0,116.0,112.0,113.0,6.76M
"Apr 27, 2020",114.0,117.0,111.0,114.0,6.38M
"Apr 24, 2020",113.0,119.0,111.0,112.0,11.42M
"Apr 23, 2020",111.0,116.0,109.0,114.0,7.37M
"Apr 22, 2020",107.0,111.0,103.0,110.0,4.45M
"Apr 21, 2020",114.0,114.0,107.0,108.0,12.26M
"Apr 20, 2020",116.0,117.0,112.0,114.0,5.91M
"Apr 17, 2020",116.0,118.0,114.0,116.0,11.61M
"Apr 16, 2020",117.0,118.0,111.0,112.0,11.03M
"Apr 15, 2020",125.0,128.0,117.0,118.0,23.61M
"Apr 14, 2020",114.0,126.0,114.0,125.0,31.75M
"Apr 13, 2020",119.0,122.0,111.0,115.0,30.64M
"Apr 09, 2020",117.0,120.0,109.0,119.0,33.62M
"Apr 08, 2020",126.0,126.0,117.0,117.0,25.30M
"Apr 07, 2020",138.0,144.0,125.0,125.0,70.09M
"Apr 06, 2020",111.0,135.0,110.0,134.0,28.72M
"Apr 03, 2020",106.0,111.0,106.0,110.0,12.44M
"Apr 02, 2020",104.0,115.0,101.0,105.0,8.90M
"Apr 01, 2020",104.0,109.0,101.0,104.0,7.04M
"Mar 31, 2020",107.0,112.0,100.0,104.0,8.48M
"Mar 30, 2020",113.0,114.0,107.0,107.0,2.68M
"Mar 27, 2020",110.0,121.0,110.0,114.0,14.68M
"Mar 26, 2020",87.0,108.0,87.0,105.0,22.24M
"Mar 24, 2020",94.0,97.0,88.0,92.0,11.72M
"Mar 23, 2020",94.0,101.0,94.0,94.0,8.70M
"Mar 20, 2020",102.0,107.0,101.0,101.0,30.59M
"Mar 19, 2020",110.0,110.0,108.0,108.0,694.40K
"Mar 18, 2020",124.0,124.0,116.0,116.0,5.48M
"Mar 17, 2020",133.0,134.0,124.0,124.0,4.56M
"Mar 16, 2020",140.0,140.0,131.0,133.0,8.03M
"Mar 13, 2020",142.0,150.0,140.0,140.0,5.16M
"Mar 12, 2020",150.0,151.0,136.0,150.0,24.01M
"Mar 11, 2020",151.0,152.0,139.0,151.0,7.81M
"Mar 10, 2020",141.0,153.0,140.0,151.0,4.37M
"Mar 09, 2020",153.0,153.0,142.0,142.0,10.54M
"Mar 06, 2020",154.0,154.0,150.0,153.0,4.54M
"Mar 05, 2020",157.0,164.0,153.0,157.0,4.30M
"Mar 04, 2020",142.0,158.0,139.0,157.0,11.48M
"Mar 03, 2020",146.0,152.0,139.0,142.0,12.81M
"Mar 02, 2020",152.0,157.0,140.0,145.0,7.78M
"Feb 28, 2020",150.0,152.0,134.0,152.0,28.26M
"Feb 27, 2020",169.0,169.0,156.0,156.0,8.63M
"Feb 26, 2020",172.0,173.0,166.0,169.0,4.09M
"Feb 25, 2020",173.0,174.0,163.0,172.0,4.41M
"Feb 24, 2020",170.0,177.0,170.0,173.0,3.85M
"Feb 21, 2020",177.0,178.0,174.0,175.0,4.34M
"Feb 20, 2020",180.0,184.0,177.0,177.0,3.06M
"Feb 19, 2020",178.0,184.0,177.0,180.0,6.70M
"Feb 18, 2020",175.0,181.0,174.0,177.0,9.78M
"Feb 17, 2020",168.0,176.0,168.0,174.0,4.32M
"Feb 14, 2020",169.0,173.0,167.0,170.0,6.68M
"Feb 13, 2020",177.0,179.0,168.0,170.0,6.12M
"Feb 12, 2020",185.0,186.0,176.0,177.0,6.83M
"Feb 11, 2020",185.0,187.0,183.0,186.0,4.49M
"Feb 10, 2020",190.0,192.0,184.0,185.0,4.63M
"Feb 07, 2020",195.0,198.0,190.0,191.0,3.40M
"Feb 06, 2020",188.0,197.0,188.0,196.0,4.83M
"Feb 05, 2020",185.0,189.0,185.0,189.0,3.91M
"Feb 04, 2020",186.0,190.0,185.0,185.0,10.56M
"Feb 03, 2020",198.0,199.0,180.0,186.0,15.13M
